variant,regime,n,mae,rmse,dir_acc_pct
Conditioned,1,33,0.038795467284264286,0.04954091396062912,48.484848484848484
Conditioned,2,365,0.010343529122815975,0.0142090316812834,56.16438356164384
Conditioned,3,358,0.004387508875848614,0.005732838536123343,58.659217877094974
Separate,1,33,0.038839136677664254,0.04909746804999299,51.515151515151516
Separate,2,365,0.010270565081454434,0.014312736952734906,55.61643835616439
Separate,3,358,0.004410433677342854,0.005734424385751344,57.262569832402235
Ensemble,1,33,0.03883917376075003,0.04909745315357942,51.515151515151516
Ensemble,2,365,0.010274890105480388,0.014312651618379338,55.06849315068493
Ensemble,3,358,0.004413685383786983,0.005736335296495153,56.98324022346368
